eid,first_name,last_name,DOB,EMAIL,HIRE_DATE,JOB_ID,sal,deptid,dept_name
198,Donald,OConnell,17-Sep-79,DOCONNEL,21-Jun-07,SH_CLERK,2600,50,CLERK
199,Douglas,Grant,17-Feb-74,DGRANT,13-Jan-08,SH_CLERK,2600,50,CLERK
200,Jennifer,Whalen,17-Aug-65,JWHALEN,17-Sep-03,AD_ASST,4400,10,ASSISTANT
201,Michael,Hartstein,07-Jun-66,MHARTSTE,17-Feb-04,MK_MAN,13000,20,MARKETING
202,Pat,Fay,07-Jun-79,PFAY,17-Aug-05,MK_REP,6000,20,MARKETING
203,Susan,Mavris,07-Jun-66,SMAVRIS,07-Jun-02,HR_REP,6500,40,HUMAN RESOURCE
204,Hermann,Baer,09-Jan-63,HBAER,07-Jun-02,PR_REP,10000,70,PUBLIC RELATIONS
205,Shelley,Higgins,17-Feb-60,SHIGGINS,07-Jun-02,AC_MGR,12008,110,ACCOUNT
206,William,Gietz,17-Jun-67,WGIETZ,07-Jun-02,AC_ACCOUNT,8300,110,ACCOUNT
100,Steven,King,18-Jun-67,SKING,17-Jun-03,AD_PRES,24000,90,PRESIDENT
101,Neena,Kochhar,13-Nov-64,NKOCHHAR,21-Sep-08,AD_VP,17000,90,PRESIDENT
102,Lex,DeHaan,13-Jan-72,LDEHAAN,13-Jan-01,AD_VP,17000,90,PRESIDENT
103,Alexander,Hunold,23-Mar-71,AHUNOLD,03-Jan-06,IT_PROG,9000,60,IT
104,Bruce,Ernst,19-Sep-62,BERNST,21-May-07,IT_PROG,6000,60,IT
105,David,Austin,23-Oct-59,DAUSTIN,25-Jun-05,IT_PROG,4800,60,IT
106,Valli,Pataballa,03-Dec-67,VPATABAL,05-Feb-06,IT_PROG,4800,60,IT
107,Diana,Lorentz,16-Aug-60,DLORENTZ,07-Feb-07,IT_PROG,4200,60,IT
108,Nancy,Greenberg,12-Aug-95,NGREENBE,17-Aug-02,FI_MGR,12008,100,FINANCE
